filename,index,IoU,F1,Precision,Recall,thr
001_image.png,VARI,,,,,199
001_image.png,ExG,,,,,162
001_image.png,MGRVI,,,,,169
002_image.png,VARI,,,,,201
002_image.png,ExG,,,,,157
002_image.png,MGRVI,,,,,165
003_image.png,VARI,,,,,213
003_image.png,ExG,,,,,172
003_image.png,MGRVI,,,,,170
004_image.png,VARI,,,,,201
004_image.png,ExG,,,,,165
004_image.png,MGRVI,,,,,165
005_image.png,VARI,,,,,196
005_image.png,ExG,,,,,157
005_image.png,MGRVI,,,,,163
006_image.png,VARI,,,,,203
006_image.png,ExG,,,,,154
006_image.png,MGRVI,,,,,169
007_image.png,VARI,,,,,199
007_image.png,ExG,,,,,162
007_image.png,MGRVI,,,,,168
008_image.png,VARI,,,,,199
008_image.png,ExG,,,,,154
008_image.png,MGRVI,,,,,166
009_image.png,VARI,,,,,198
009_image.png,ExG,,,,,148
009_image.png,MGRVI,,,,,165
010_image.png,VARI,,,,,196
010_image.png,ExG,,,,,163
010_image.png,MGRVI,,,,,161
011_image.png,VARI,,,,,201
011_image.png,ExG,,,,,155
011_image.png,MGRVI,,,,,165
012_image.png,VARI,,,,,187
012_image.png,ExG,,,,,168
012_image.png,MGRVI,,,,,154
013_image.png,VARI,,,,,195
013_image.png,ExG,,,,,168
013_image.png,MGRVI,,,,,163
014_image.png,VARI,,,,,197
014_image.png,ExG,,,,,161
014_image.png,MGRVI,,,,,163
015_image.png,VARI,,,,,198
015_image.png,ExG,,,,,159
015_image.png,MGRVI,,,,,166
016_image.png,VARI,,,,,205
016_image.png,ExG,,,,,163
016_image.png,MGRVI,,,,,168
017_image.png,VARI,,,,,202
017_image.png,ExG,,,,,169
017_image.png,MGRVI,,,,,167
018_image.png,VARI,,,,,202
018_image.png,ExG,,,,,167
018_image.png,MGRVI,,,,,169
019_image.png,VARI,,,,,192
019_image.png,ExG,,,,,168
019_image.png,MGRVI,,,,,157
020_image.png,VARI,,,,,185
020_image.png,ExG,,,,,161
020_image.png,MGRVI,,,,,138
021_image.png,VARI,,,,,196
021_image.png,ExG,,,,,157
021_image.png,MGRVI,,,,,146
022_image.png,VARI,,,,,206
022_image.png,ExG,,,,,162
022_image.png,MGRVI,,,,,163
023_image.png,VARI,,,,,205
023_image.png,ExG,,,,,165
023_image.png,MGRVI,,,,,164
024_image.png,VARI,,,,,202
024_image.png,ExG,,,,,170
024_image.png,MGRVI,,,,,159
025_image.png,VARI,,,,,208
025_image.png,ExG,,,,,155
025_image.png,MGRVI,,,,,162
026_image.png,VARI,,,,,203
026_image.png,ExG,,,,,173
026_image.png,MGRVI,,,,,162
027_image.png,VARI,,,,,200
027_image.png,ExG,,,,,162
027_image.png,MGRVI,,,,,160
028_image.png,VARI,,,,,201
028_image.png,ExG,,,,,160
